Episode,Score,Random
1,4825,0.928058
2,450,0.659341
3,4175,0.675676
4,450,0.610619
5,4950,0.467949
6,400,0.344444
7,350,0.347826
8,800,0.649123
9,825,0.404959
10,550,0.405172
11,825,0.476923
12,4350,0.45082
13,1250,0.304636
14,450,0.410714
15,700,0.478261
16,5375,0.409938
17,1025,0.305556
18,5000,0.4
19,4625,0.271186
20,1225,0.301724
21,1350,0.322581
22,475,0.555556
23,825,0.285714
24,550,0.29932
25,7900,0.355556
26,8775,0.342205
27,4675,0.253731
28,4950,0.301887
29,750,0.211864
30,4650,0.338028
31,4950,0.321053
32,4725,0.247126
33,4200,0.288043
34,4500,0.225
35,825,0.181818
36,8475,0.292208
37,1150,0.160622
38,525,0.176471
39,4100,0.144928
40,5175,0.22549
41,5025,0.138095
42,4875,0.227273
43,4300,0.220339
44,575,0.216867
45,775,0.173913
46,8425,0.202073
47,4175,0.177778
48,825,0.130769
49,9100,0.228155
50,13075,0.186047
51,5250,0.177778
52,8700,0.261307
53,825,0.104895
54,12275,0.150183
55,4100,0.14557
56,7575,0.233051
57,10000,0.116667
58,5450,0.161491
59,8675,0.23741
60,5050,0.104265
61,16125,0.19086
62,8575,0.170404
63,9375,0.214953
64,8000,0.0985916
65,8625,0.161172
66,4875,0.272727
67,16500,0.268065
68,8675,0.116279
69,8625,0.140097
70,12050,0.142222
71,8700,0.251282
72,4825,0.143836
73,17200,0.336806
74,4950,0.0918919
75,12475,0.2
76,750,0.105882
77,8450,0.20082
78,8750,0.148699
79,13175,0.159151
80,5550,0.166667
81,12775,0.121311
82,17525,0.303867
83,12900,0.169231
84,4975,0.138889
85,14025,0.117143
86,1450,0.0496454
87,12150,0.138756
88,9150,0.133333
89,4425,0.102941
90,1375,0.101266
91,12725,0.142857
92,9475,0.104784
93,5000,0.0619048
94,8700,0.123932
95,7700,0.108247
96,16475,0.244444
97,13525,0.166065
98,17900,0.207729
99,5125,0.0809249
100,19400,0.108656
101,2050,0.0802005
102,8050,0.127737
103,9225,0.109091
104,19100,0.190099
105,9825,0.106888
106,13600,0.0874126
107,4300,0.047619
108,16100,0.15894
109,15950,0.235772
110,12800,0.169082
111,8250,0.125
112,550,0.1
113,18000,0.213235
114,6275,0.57672
115,13625,0.0888889
116,13675,0.108861
117,5400,0.117647
118,4925,0.520408
119,14050,0.0716253
120,16400,0.182879
121,11700,0.0841424
122,16575,0.140741
123,16725,0.167235
124,12225,0.154882
125,9075,0.0511628
126,5950,0.097561
127,12000,0.0993151
128,16625,0.242424
129,21400,0.28841
130,12700,0.136691
131,13525,0.0995025
132,8500,0.204545
133,17575,0.160121
134,16825,0.142361
135,4825,0.101064
136,17400,0.247619
137,12900,0.0709877
138,16175,0.213953
139,16425,0.226006
140,11650,0.122754
141,4925,0.0837989
142,8100,0.115
143,8500,0.0858896
144,16350,0.0968661
145,18025,0.124514
146,5400,0.0829493
147,12025,0.105634
148,5025,0.0754717
149,13225,0.113924
150,5400,0.0660066
151,13600,0.0610687
152,1375,0.0482456
153,17875,0.182927
154,18275,0.168539
155,8375,0.104167
156,13250,0.133333
157,9475,0.0921502
158,17175,0.189573
159,20950,0.27409
160,16700,0.125
161,15900,0.128205
162,20350,0.209163
163,8150,0.142857
164,21800,0.231801
165,15925,0.145963
166,15275,0.139442
167,16100,0.153584
168,17125,0.159892
169,16575,0.184834
170,15775,0.16041
171,17025,0.188889
172,5350,0.0613027
173,12300,0.0743034
174,12500,0.0923913
175,17000,0.112016
176,17850,0.122762
177,8075,0.104651
178,650,0.0931174
179,4925,0.0642857
180,20700,0.248503
181,16400,0.131429
182,1325,0.0666667
183,18175,0.138028
184,4700,0.0913706
185,13375,0.0806452
186,16325,0.137725
187,16650,0.22488
188,17550,0.142433
189,12950,0.0704545
190,7975,0.120567
191,8175,0.0765766
192,17375,0.162353
193,22500,0.195228
194,9075,0.0656109
195,16750,0.178218
196,18300,0.137026
197,8450,0.059375
198,16800,0.123737
199,16425,0.0807018
200,17200,0.0979133
201,16475,0.18018
202,16725,0.156627
203,16625,0.111959
204,16325,0.104762
205,900,0.0934066
206,16025,0.15142
207,9550,0.0491803
208,12650,0.0940171
209,17875,0.142169
210,2250,0.0909091
211,15775,0.104693
212,12425,0.109589
213,17850,0.151408
214,18650,0.127932
215,20600,0.247222
216,16900,0.132258
217,12725,0.121212
218,17375,0.139535
219,9725,0.0650406
220,17275,0.127389
221,17575,0.138191
222,16975,0.143695
223,16200,0.104545
224,16475,0.128571
225,8625,0.0497738
226,12750,0.0599078
227,16350,0.131805
228,16700,0.16388
229,15950,0.128079
230,17500,0.120408
231,16575,0.075188
232,9075,0.0522088
233,16900,0.174274
234,17975,0.101562
235,18400,0.117318
236,20200,0.180523
237,9025,0.0958904
238,15850,0.13369
239,17150,0.136646
240,17675,0.117089
241,15900,0.130682
242,12025,0.121622
243,16175,0.131488
244,18050,0.167203
245,12550,0.11583
246,21800,0.165714
247,17275,0.138249
248,12450,0.0852273
249,22200,0.136704
250,12300,0.0958466
251,17875,0.170886
252,17025,0.13245
253,20250,0.233422
254,17250,0.136709
255,17325,0.126374
256,12700,0.0659341
257,17150,0.184127
258,4075,0.116505
259,4775,0.0456274
260,5100,0.0376569
261,16000,0.118343
262,16775,0.103275
263,16700,0.0757576
264,16800,0.170732
265,21075,0.153846
266,17500,0.137931
267,9025,0.0395137
268,8475,0.0964467
269,23250,0.127726
270,17100,0.0616302
271,24050,0.0993103
272,13275,0.10452
273,9500,0.0718391
274,17350,0.111111
275,17600,0.0675182
276,8725,0.0694981
277,13075,0.0560748
278,17450,0.111842
279,17275,0.0921053
280,12600,0.0490196
281,8900,0.0420168
282,21750,0.168399
283,15775,0.0454545
284,13025,0.0403727
285,13400,0.0636943
286,21300,0.192748
287,16575,0.101124
288,16325,0.0841837
289,16975,0.103203
290,16050,0.0659341
291,17125,0.0909091
292,16175,0.112994
293,16925,0.126649
294,16075,0.0909091
295,15475,0.108303
296,15225,0.140845
297,15500,0.0816327
298,21225,0.175542
299,16775,0.149813
300,17950,0.10397
301,20750,0.155125
302,16400,0.0678392
303,17350,0.148338
304,12450,0.07393
305,12250,0.0852713
306,15550,0.128125
307,16925,0.0438247
308,16625,0.159875
309,17900,0.154567
310,16975,0.09375
311,15925,0.0808824
312,17300,0.152318
313,15650,0.104938
314,16550,0.179856
315,17425,0.115385
316,17225,0.148148
317,21525,0.182004
318,17300,0.127232
319,20900,0.144309
320,17875,0.141343
321,17525,0.113043
322,17225,0.133987
323,15725,0.0895522
324,16100,0.129032
325,15675,0.0786885
326,16325,0.0819672
327,8175,0.0657895
328,17575,0.115819
329,17125,0.155689
330,17750,0.1275
331,12550,0.141818
332,16200,0.12381
333,12675,0.0690789
334,16800,0.0958647
335,21425,0.160291
336,17625,0.0776942
337,16375,0.124646
338,11950,0.069869
339,26575,0.213592
340,22575,0.220253
341,17525,0.12529
342,8125,0.0774194
343,12400,0.0695652
344,15500,0.100719
345,20700,0.132325
346,8325,0.0896226
347,22775,0.153846
348,16225,0.112281
349,8925,0.0622568
350,15700,0.0732484
351,20950,0.131627
352,12725,0.0734824
353,17500,0.131148
354,9400,0.04811
355,24200,0.183128
356,17050,0.108571
357,16575,0.102757
358,4225,0.0876289
359,16575,0.0906667
360,16450,0.0648148
361,17300,0.0736041
362,16750,0.116998
363,15450,0.0769231
364,16575,0.0670103
365,9275,0.0526316
366,12575,0.0481928
367,8850,0.0337423
368,24125,0.18254
369,21975,0.0972222
370,15650,0.141176
371,4175,0.088
372,21225,0.136042
373,17700,0.115139
374,17675,0.0566038
375,11575,0.058309
376,7625,0.0818713
377,15375,0.128049
378,13225,0.0552326
379,8400,0.0717703
380,16375,0.0628743
381,16450,0.0443548
382,9525,0.0392157
383,15975,0.118519
384,18075,0.128814
385,12075,0.0795455
386,11425,0.1
387,17250,0.127329
388,16225,0.0976253
389,17000,0.0904762
390,18100,0.103846
391,16900,0.119241
392,4700,0.0652174
393,1025,0.0456621
394,21450,0.167155
395,16325,0.135246
396,16675,0.0719178
397,15275,0.132616
398,16575,0.0855019
399,16975,0.146259
400,16500,0.115385
401,17325,0.117647
402,22725,0.13544
403,15675,0.0601504
404,14975,0.143969
405,16250,0.0906516
406,13525,0.079602
407,8525,0.0994152
408,26650,0.185185
409,9500,0.0883721
410,17175,0.130282
411,25850,0.191532
412,16500,0.133758
413,16825,0.107595
414,15925,0.120968
415,19650,0.12065
416,18075,0.0857909
417,22025,0.140351
418,17175,0.0956522
419,24675,0.173423
420,20850,0.0997921
421,20850,0.140704
422,17300,0.0788044
423,23700,0.110345
424,16825,0.0695187
425,4875,0.0632911
426,4850,0.0638298
427,26500,0.158082
428,16925,0.0489297
429,24000,0.13834
430,23150,0.183857
431,17175,0.0793651
432,17175,0.0948509
433,17000,0.112565
434,16625,0.08125
435,16100,0.0747922
436,16100,0.0921053
437,17875,0.0859189
438,4150,0.11194
439,16375,0.0966057
440,17175,0.0793201
441,7850,0.05
442,12325,0.0652174
443,17750,0.109827
444,8450,0.0720339
445,18525,0.100592
446,16100,0.0654762
447,27125,0.131048
448,22450,0.119835
449,17100,0.125767
450,12050,0.0604396
451,16075,0.0928962
452,16125,0.15625
453,25400,0.169421
454,16850,0.0808824
455,21225,0.11349
456,23100,0.191398
457,22950,0.146993
458,20950,0.144385
459,15225,0.0551181
460,17300,0.0555556
461,18350,0.0712695
462,16300,0.0734341
463,18000,0.0813954
464,8400,0.0639535
465,16575,0.0787879
466,16850,0.110714
467,13625,0.0340136
468,5500,0.0293725
469,17375,0.0963855
470,5575,0.0380762
471,18050,0.106576
472,9500,0.0487805
473,13050,0.0409556
474,16950,0.0816327
475,16425,0.085443
476,3075,0.0477876
477,16600,0.0655271
478,18700,0.0969072
479,17100,0.0749186
480,16725,0.0572917
481,1275,0.0369231
