Episode,Score
1,1300
2,750
3,325
4,1275
5,725
6,700
7,650
8,825
9,350
10,800
11,675
12,675
13,4275
14,550
15,800
16,1825
17,725
18,800
19,750
20,1300
21,4050
22,600
23,975
24,825
25,375
26,950
27,1525
28,750
29,750
30,675
31,1550
32,700
33,1075
34,1000
35,5200
36,825
37,1425
38,675
39,1825
40,1325
41,4750
42,825
43,1325
44,1250
45,900
46,475
47,1300
48,625
49,975
50,525
51,4475
52,625
53,700
54,4200
55,1250
56,6025
57,575
58,1275
59,550
60,550
61,750
62,1225
63,2025
64,1200
65,750
66,1800
67,1300
68,500
69,4775
70,800
71,3950
72,4925
73,4325
74,4700
75,350
76,1225
77,5725
78,1025
79,4275
80,1025
81,1325
82,3925
83,800
84,725
85,725
86,4575
87,4775
88,5400
89,4325
90,500
91,850
92,1875
93,4775
94,4300
95,1275
96,1375
97,4425
98,750
99,4250
100,500
101,5300
102,700
103,1275
104,725
105,1500
106,8250
107,775
108,1450
109,4350
110,5975
111,700
112,375
113,4900
114,5200
115,4150
116,4225
117,5725
118,5025
119,1200
120,4950
121,550
122,5800
123,1350
124,5900
125,825
126,675
127,1250
128,3925
129,4375
130,4275
131,5050
132,875
133,525
134,500
135,4575
136,5150
137,400
138,1025
139,1125
140,1525
141,850
142,1025
143,375
144,5750
145,950
146,1050
147,400
148,425
149,525
150,375
151,1525
152,5250
153,775
154,475
155,775
156,300
157,500
158,4150
159,800
160,4675
161,1025
162,775
163,4450
164,775
165,1075
166,425
167,850
168,975
169,1025
170,5700
171,4325
172,5225
173,1325
174,4600
175,800
176,4150
177,1000
178,425
179,775
180,4525
181,525
182,1400
183,10250
184,875
185,1300
186,10250
187,4950
188,550
189,8425
190,1550
191,5100
192,4450
193,4825
194,4750
195,7575
196,850
197,800
198,475
199,1025
200,775
201,450
202,4650
203,4475
204,525
205,1000
206,4450
207,1025
208,8125
209,775
210,800
211,800
212,775
213,1025
214,1025
215,825
216,775
217,800
218,300
219,950
220,400
221,4500
222,850
223,1025
224,425
225,1000
226,1025
227,525
228,300
229,5750
230,825
231,800
232,4500
233,1025
234,4425
235,5300
236,4900
237,1300
238,4425
239,1000
240,9950
241,4375
242,5050
243,1050
244,1050
245,300
246,850
247,4700
248,1850
249,13500
250,500
251,350
252,800
253,925
254,4000
255,400
256,1025
257,650
258,275
259,325
260,1600
261,825
262,775
263,625
264,1350
265,4700
266,1000
267,1600
268,4875
269,1025
270,1050
271,4050
272,875
273,1100
274,1050
275,1075
276,4675
277,800
278,4150
279,1200
280,1225
281,550
282,1100
283,1100
284,1100
285,250
286,1125
287,5425
288,1175
289,1900
290,1050
291,1100
292,1025
293,5200
294,4600
295,1325
296,925
297,1525
298,1025
299,4025
300,1025
301,1025
302,1050
303,1000
304,10125
305,1250
306,775
307,5775
308,725
309,1075
310,775
311,775
312,1325
313,4700
314,4800
315,4450
316,600
317,1425
318,6825
319,1300
320,5700
321,5650
322,4450
323,4450
324,625
325,9550
326,4950
327,4425
328,550
329,1750
330,925
331,1125
332,1125
333,5325
334,5025
335,450
336,5050
337,5000
338,4325
339,625
340,700
341,1175
342,700
343,900
344,9375
345,1150
346,750
347,1175
348,825
349,1175
350,1150
351,1375
352,4975
353,8050
354,1925
355,5825
356,8825
357,1825
358,4450
359,4200
360,1300
361,775
362,675
363,5300
364,4825
365,1125
366,1125
367,4150
368,9150
369,1225
370,1300
371,6225
372,5025
373,1125
374,9150
375,4525
376,750
377,1325
378,1350
379,625
380,1350
381,1150
382,5000
383,1275
384,5925
385,1175
386,800
387,5600
388,6125
389,775
390,875
391,1150
392,1175
393,1300
394,1400
395,1150
396,725
397,4975
398,1900
399,1125
400,800
401,1150
402,8625
403,5400
404,400
405,825
406,800
407,1225
408,5850
409,1325
410,1125
411,675
412,1150
413,5850
414,1150
415,12775
416,1150
417,4975
418,1325
419,625
420,4075
421,950
422,1225
423,5950
424,1300
425,625
426,1200
427,1150
428,1175
429,1125
430,5050
431,1150
432,1125
433,625
434,5875
435,1350
436,1125
437,1150
438,1125
439,1125
440,1225
441,1150
442,5450
443,1125
444,1300
445,19000
446,4450
447,4025
448,4900
449,4850
450,1325
451,8575
452,1150
453,1125
454,5375
455,800
456,5675
457,8900
458,9225
459,18175
460,1325
461,5150
462,9625
463,875
464,1325
465,1275
466,10250
467,5125
468,4175
469,5175
470,1125
471,1250
472,4900
473,1150
474,1150
475,1150
476,1150
477,5575
478,12250
479,325
480,675
481,1625
482,7375
483,5500
484,5350
485,1150
486,5125
487,1875
488,1700
489,5075
490,4350
491,550
492,1025
493,400
494,1100
495,1175
496,875
497,900
498,4675
499,4500
500,950
501,525
502,475
503,1800
504,1175
505,5000
506,5325
507,4450
508,1325
509,825
510,5900
511,4650
512,525
513,9200
514,1300
515,4250
516,1325
517,1275
518,5275
519,600
520,1250
521,6325
522,4525
523,825
524,1125
525,800
526,825
527,1125
528,800
529,350
530,800
531,800
532,1025
533,525
534,975
535,850
536,5000
537,5075
538,4050
539,475
540,4325
541,925
542,1600
543,825
544,825
545,825
546,850
547,825
548,825
549,825
550,1525
551,1500
552,4400
553,5100
554,5025
555,5425
556,10250
557,5550
558,8300
559,1250
560,4825
561,825
562,950
563,5600
564,1300
565,1300
566,9675
567,5050
568,19000
569,5175
570,1075
571,7275
572,1450
573,11850
574,5200
575,1225
576,4925
577,8575
578,800
579,1375
580,1350
581,1475
582,4675
583,875
584,1025
585,1300
586,4425
587,775
588,5300
589,6175
590,4075
591,1000
592,825
593,500
594,525
595,425
596,875
597,5050
598,4725
599,4450
600,1300
601,9500
602,5700
603,1400
604,1825
605,1325
606,4275
607,6050
608,925
609,5825
610,13350
611,9125
612,1025
613,1025
614,16350
615,4000
616,4900
617,800
618,925
619,5000
620,800
621,800
622,5125
623,800
624,800
625,800
626,950
627,850
628,850
629,1500
630,4375
631,850
632,325
633,850
634,4875
635,5575
636,5350
637,1350
638,5525
639,725
640,850
641,800
642,850
643,6000
644,5350
645,5400
646,1325
647,5825
648,1800
649,1850
650,800
651,9650
652,850
653,8750
654,9575
655,8850
656,1325
657,1325
658,5825
659,9875
660,6025
661,10175
662,4750
663,1175
664,1375
665,13300
666,5350
667,925
668,875
669,4800
670,850
671,5200
672,17675
673,1025
674,850
675,375
676,850
677,9100
678,4900
679,825
680,5225
681,1825
682,1125
683,9550
684,4625
685,875
686,850
687,875
688,725
689,475
690,1125
691,5325
692,4450
693,4850
694,1325
695,9675
696,900
697,5100
698,1000
699,4450
700,1225
701,425
702,1250
703,5100
704,800
705,6275
706,800
707,700
708,5900
709,1900
710,5125
711,4700
712,1325
713,1750
714,725
715,5250
716,1325
717,6700
718,5200
719,4700
720,9700
721,5450
722,1275
723,12650
724,6225
725,4750
726,8650
727,4900
728,1425
729,4475
730,8075
731,9500
732,1225
733,1325
734,4675
735,1325
736,1275
737,16150
738,1825
739,5025
740,1350
741,9025
742,5375
743,4925
744,1150
745,950
746,1325
747,1325
748,6025
749,1925
750,5525
751,1875
752,9575
753,1175
754,4950
755,9450
756,4900
757,2050
758,1275
759,4725
760,4400
761,9925
762,5050
763,5875
764,1325
765,800
766,4975
767,17400
768,4550
769,3900
770,950
771,1200
772,1975
773,9750
774,5950
775,5800
776,18100
777,1800
778,5050
779,800
780,8875
781,5475
782,5525
783,4875
784,9200
785,5375
786,5350
787,1775
788,4825
789,800
790,1300
791,450
792,1025
793,6300
794,1400
795,725
796,5850
797,5375
798,4150
799,4725
800,5400
801,1000
802,1225
803,1825
804,4475
805,1050
806,4450
807,1525
808,975
809,7975
810,5475
811,1375
812,9425
813,8625
814,4425
815,9700
816,925
817,5025
818,4425
819,4550
820,9950
821,1100
822,1325
823,5575
824,1075
825,10150
826,10050
827,17900
828,1025
829,1325
830,8500
831,1400
832,1325
833,9200
834,8000
835,9825
836,8225
837,1000
838,1525
839,8800
840,4875
841,1325
842,1350
843,575
844,1325
845,1825
846,5275
847,8425
848,1075
849,9650
850,8725
851,4700
852,975
853,1525
854,9925
855,1350
856,9075
857,1450
858,18075
859,1525
860,1025
861,5150
862,4700
863,925
864,925
865,5325
866,10325
867,4200
868,5900
869,4675
870,1975
871,5250
872,4600
873,9600
874,6050
875,6475
876,12500
877,4975
878,8675
879,1400
880,525
881,5025
882,10050
883,8800
884,14075
885,8550
886,11900
887,9125
888,1950
889,1175
890,1325
891,6150
892,1925
893,1300
894,5250
895,1325
896,5275
897,8100
898,1500
899,5375
900,1000
901,5625
902,6575
903,9775
904,4200
905,875
906,1325
907,1325
908,1325
909,1325
910,4975
911,1200
912,9550
913,1325
914,9950
915,9100
916,8700
917,9000
918,1125
919,975
920,475
921,4350
922,3650
923,4825
924,5550
925,9300
926,6925
927,1350
928,1275
