Episode,Score
1,1325
2,400
3,900
4,450
5,825
6,4600
7,800
8,4450
9,775
10,1450
11,825
12,850
13,1650
14,4600
15,4750
16,2075
17,4800
18,1800
19,800
20,5400
21,9275
22,12050
23,4900
24,8950
25,600
26,5525
27,725
28,4450
29,8675
30,13275
31,5050
32,4125
33,4950
34,6300
35,13200
36,1325
37,800
38,13875
39,5075
40,1275
41,17400
42,1400
43,725
44,22025
45,8575
46,6350
47,8450
48,16125
49,8450
50,550
51,8675
52,9200
53,14625
54,17425
55,14850
56,875
57,4700
58,18100
59,18925
60,18375
61,10050
62,13250
63,15450
64,2450
65,14300
66,19700
67,6050
68,13325
69,5775
70,10550
71,8950
72,13800
73,5150
74,8800
75,18600
76,18025
77,26250
78,27700
79,13925
80,4500
81,1150
82,9225
83,10425
84,5525
85,26825
86,13400
87,32125
88,22700
89,1175
90,23150
91,16825
92,9875
93,17250
94,5775
95,23975
96,17525
97,20625
98,1350
99,7500
100,1575
101,5350
102,24700
103,19875
104,28000
105,19300
106,17525
107,13225
108,13475
109,17050
110,21050
111,21475
112,27200
113,13350
114,5500
115,13825
116,13900
117,30100
118,18825
119,9025
120,5675
121,23050
122,27925
123,9500
124,9250
125,22125
126,9050
127,14500
128,18625
129,9700
130,13675
131,9775
132,13600
133,17975
134,22825
135,17750
136,13925
137,5375
138,12925
139,17625
140,31750
141,4975
142,22300
143,32475
144,26350
145,23050
146,18750
147,10350
148,23000
149,17900
150,17150
151,4300
152,23850
153,27225
154,27575
155,13650
156,12725
157,17650
158,17700
159,9675
160,33000
161,26950
162,26375
163,16825
164,18825
165,2375
166,23025
167,17000
168,17550
169,22450
170,22625
171,23150
172,19100
173,18725
174,4975
175,20575
176,19450
177,18525
178,17550
179,23650
180,22625
181,13150
182,23800
183,32550
184,19175
185,10600
186,22900
187,19550
188,34275
189,21500
190,14300
191,33425
192,33100
193,23075
194,30875
195,22150
196,23525
197,27250
198,29075
199,18875
200,14225
201,37100
202,27250
203,17800
204,14650
205,14500
206,18725
207,18750
208,27825
209,23150
210,24925
211,23550
212,23450
213,26500
214,32750
215,14900
216,27425
217,15525
218,22800
219,21250
220,28100
221,18850
222,22300
223,26975
224,29575
225,20925
226,27975
227,22775
228,24000
229,23075
230,26325
231,18800
232,26075
233,18025
234,22775
235,12975
236,22250
237,17750
238,23100
239,32625
240,13700
241,18050
242,25700
243,23575
244,17800
245,27200
246,23650
247,20275
248,32475
249,4775
250,9425
251,17800
252,23475
253,28100
254,8675
255,25125
256,23050
257,10725
258,13750
259,26725
260,17750
261,18725
262,4550
263,23650
264,17975
265,13175
266,23475
267,14525
268,26400
269,23600
270,30450
271,18675
272,10825
273,22175
274,22425
275,19475
276,36250
277,33150
278,24550
279,21575
280,17200
281,9550
282,10200
283,28650
284,23225
285,10500
286,27200
287,22825
288,27975
289,24700
290,26125
291,26700
292,26950
293,31550
294,23850
295,18550
296,18825
297,18150
298,13950
299,31575
300,25175
301,29400
302,40850
303,19400
304,25100
305,26675
306,29375
307,17400
308,32475
309,27375
310,15625
311,18625
312,19200
313,19625
314,34250
315,18325
316,31300
317,18275
318,25950
319,5175
320,13550
321,13850
322,14250
323,10225
324,27550
325,10400
326,28900
327,23775
328,27100
329,33275
330,13825
331,35800
332,34975
333,23850
334,9575
335,18975
336,8700
337,17700
338,18650
339,27950
340,9125
341,23150
342,5075
343,23900
344,18425
345,19625
346,18950
347,18875
348,4475
349,18100
350,26575
351,29175
352,5750
353,18600
354,5550
355,19850
356,19950
357,19100
358,15275
359,22925
360,33225
361,19125
362,27375
363,21425
364,24100
365,17250
366,28025
367,27825
368,28050
369,27250
370,32400
371,21950
372,25600
373,24200
374,26275
375,23525
376,23150
377,18575
378,26900
379,26825
