Episode,Score,Random
1,750,1
2,775,1
3,750,1
4,850,0.99187
5,1325,0.958333
6,825,0.846154
7,750,0.64557
8,750,0.791045
9,350,0.471264
10,925,0.641509
11,775,0.505747
12,850,0.576577
13,725,0.504854
14,700,0.736
15,825,0.451327
16,725,0.662338
17,450,0.596154
18,300,0.509804
19,700,0.587302
20,725,0.556701
21,700,0.559322
22,500,0.654545
23,600,0.545455
24,725,0.613333
25,625,0.452174
26,850,0.529915
27,500,0.566372
28,450,0.671429
29,675,0.353659
30,700,0.458333
31,725,0.390625
32,650,0.418605
33,725,0.454545
34,825,0.377778
35,1200,0.30303
36,1975,0.446429
37,750,0.506024
38,475,0.547945
39,725,0.306358
40,1375,0.261905
41,4150,0.455056
42,4925,0.354167
43,825,0.50505
44,850,0.352941
45,875,0.27439
46,1350,0.232
47,550,0.47619
48,800,0.438776
49,4650,0.434783
50,1375,0.239669
51,650,0.326633
52,4625,0.387097
53,975,0.318519
54,650,0.329193
55,1200,0.28777
56,1375,0.235
57,1400,0.191617
58,900,0.20979
59,850,0.155689
60,800,0.210084
61,1350,0.158192
62,850,0.272727
63,800,0.264957
64,1125,0.358209
65,900,0.363636
66,1350,0.30303
67,4550,0.289474
68,675,0.268908
69,4475,0.306748
70,1475,0.238095
71,1400,0.188811
72,9025,0.252
73,5300,0.252632
74,8600,0.348039
75,875,0.225
76,4750,0.383459
77,1425,0.295597
78,1300,0.208955
79,925,0.171429
80,775,0.244681
81,825,0.105691
82,4375,0.251656
83,4825,0.267123
84,4775,0.260163
85,4400,0.313131
86,8375,0.226601
87,1325,0.105691
88,800,0.163462
89,8325,0.278912
90,1300,0.0229885
91,800,0.292308
92,1275,0.0466667
93,5025,0.251799
94,5450,0.238095
95,8025,0.273381
96,4225,0.146893
97,4475,0.254545
98,4600,0.136364
99,8175,0.185897
100,8675,0.241525
101,1025,0.104615
102,8100,0.248705
103,4425,0.159763
104,825,0.141892
105,5550,0.433071
106,4525,0.341667
107,1425,0.0547945
108,12850,0.439462
109,5250,0.131579
110,4875,0.180233
111,8675,0.151042
112,5175,0.110818
113,14625,0.0827586
114,13375,0.142857
115,13925,0.174061
116,13850,0.158654
117,8775,0.108571
118,17100,0.216625
119,5000,0.118577
120,12025,0.175115
121,8400,0.153846
122,8975,0.133333
123,15800,0.203636
124,8525,0.0796915
125,16675,0.101852
126,9150,0.15082
127,9500,0.0935673
128,4800,0.100671
129,8700,0.066
130,7875,0.09375
131,9075,0.106762
132,16275,0.116625
133,5025,0.0958333
134,4625,0.226744
135,15175,0.149798
136,16725,0.0739796
137,17300,0.261765
138,12800,0.15
139,16000,0.320158
140,16000,0.210728
141,11450,0.0881057
142,12350,0.089172
143,4025,0.147727
144,15075,0.216749
145,5250,0.0740741
146,13425,0.0687831
147,11875,0.122137
148,16475,0.133484
149,8725,0.118721
150,16825,0.12311
151,16625,0.153846
152,16000,0.108597
153,16850,0.22365
154,21575,0.252236
155,17675,0.112128
156,4275,0.133858
157,20650,0.296117
158,18700,0.231707
159,16425,0.1983
160,16925,0.212418
161,9900,0.044702
162,16975,0.145631
163,11350,0.0872483
164,8075,0.166667
165,4900,0.0684411
166,8625,0.0855856
167,12225,0.123288
168,15700,0.0808511
169,16225,0.148515
170,13025,0.0805687
171,16275,0.316151
172,9875,0.0582011
173,17000,0.0767697
174,15475,0.252336
175,12550,0.128889
176,15950,0.103604
177,15000,0.220994
178,16175,0.0557621
179,9125,0.133028
180,12175,0.0472973
181,17175,0.213166
182,12450,0.165899
183,17500,0.173554
184,19900,0.349057
185,12450,0.0921502
186,16050,0.121528
187,17150,0.142232
188,17925,0.217617
189,15675,0.285714
190,16725,0.233618
191,13650,0.0967742
192,16425,0.156977
193,17500,0.173669
194,17200,0.100503
195,17075,0.179063
196,16550,0.25974
197,9100,0.0790274
198,17250,0.131234
199,12200,0.107955
200,16300,0.213018
201,16025,0.0929487
202,16900,0.0709046
203,12550,0.0454545
204,16525,0.164912
205,16325,0.125436
206,16700,0.11838
207,16250,0.0839416
208,8975,0.0398406
209,16125,0.0739437
210,16725,0.136986
211,16200,0.140684
212,16675,0.089172
213,21175,0.224949
214,16100,0.134328
215,17200,0.0955056
216,12775,0.309917
217,16825,0.161716
218,17125,0.129568
219,17375,0.168865
220,17650,0.109223
221,16300,0.170213
222,17625,0.110403
223,16725,0.116959
224,17525,0.20442
225,16625,0.0651629
226,16800,0.134276
227,17925,0.145299
228,17375,0.137755
229,17250,0.116711
230,16325,0.119863
231,16350,0.139466
232,16200,0.146718
233,17050,0.115068
234,22550,0.177419
235,14275,0.0384615
236,9025,0.0349345
237,16375,0.128931
238,12725,0.0607029
239,9125,0.0848214
240,16700,0.122867
241,16200,0.120521
242,17825,0.178788
243,17225,0.179567
244,17275,0.175793
245,21700,0.222664
246,17000,0.157233
247,25075,0.247892
248,18000,0.126027
249,17025,0.18123
250,18275,0.205314
251,21150,0.221719
252,16725,0.185185
253,16900,0.177632
254,16725,0.0996785
255,20125,0.20178
256,17025,0.179412
257,16825,0.123288
258,21325,0.18
259,21700,0.23416
260,21750,0.162637
261,21700,0.193237
262,21300,0.203233
263,16800,0.12585
264,16950,0.126935
265,16900,0.116883
266,17450,0.147668
267,17675,0.143939
268,16600,0.0971429
269,16375,0.125
270,16100,0.0337838
271,21600,0.213636
272,16975,0.0979228
273,20750,0.149746
274,16850,0.120482
275,20850,0.235294
276,24900,0.243856
277,17850,0.121302
278,17175,0.122507
279,16650,0.119658
280,16050,0.0490798
281,22700,0.238839
282,16525,0.128302
283,17675,0.115869
284,16175,0.0801282
285,17525,0.119101
286,16275,0.107383
287,17500,0.215232
288,24775,0.268354
289,16775,0.0984615
290,17450,0.0957447
291,17575,0.116564
292,21900,0.227723
293,17175,0.154684
294,20700,0.178147
295,21975,0.20765
296,17075,0.130584
297,17950,0.12549
298,20975,0.180556
299,17175,0.117801
300,21400,0.175824
301,17000,0.147059
302,16575,0.150307
303,17025,0.0767123
304,17950,0.152
305,16850,0.106707
306,22300,0.206081
307,17075,0.10119
308,17175,0.078341
309,16700,0.0766423
310,21325,0.159705
311,21975,0.145969
312,18325,0.0838323
313,22200,0.193814
314,21150,0.159145
315,16775,0.117808
316,20350,0.170088
317,17000,0.128713
318,17400,0.137809
319,16975,0.139205
320,20675,0.200472
321,17100,0.080429
322,17675,0.133166
323,28175,0.236364
324,16825,0.112903
325,17175,0.106897
326,21000,0.183333
327,17475,0.14377
328,22525,0.17866
329,21400,0.190574
330,18125,0.125382
331,17975,0.131343
332,22125,0.155022
333,17825,0.105263
334,21175,0.164557
335,17250,0.148148
336,21600,0.219753
337,21475,0.205742
338,17025,0.0836237
339,17325,0.106383
340,17825,0.117845
341,22125,0.165533
342,21250,0.128
343,22450,0.178499
344,17325,0.137457
345,17825,0.110145
346,21475,0.193833
347,17475,0.13649
348,17300,0.117216
349,17875,0.126984
350,17925,0.121581
351,25525,0.161043
352,17225,0.097973
353,22525,0.159551
354,17200,0.108527
355,17400,0.114754
356,21350,0.223714
357,17950,0.101639
358,17825,0.129568
359,26775,0.236273
360,20650,0.143678
361,20825,0.136612
362,17900,0.133333
363,21925,0.169734
364,17375,0.101083
365,21275,0.113636
366,17325,0.0812721
367,17875,0.0846395
368,28025,0.193548
369,18225,0.1
370,26000,0.184307
371,21775,0.162791
372,17400,0.0944625
373,17925,0.0959302
374,21350,0.168116
375,22550,0.184891
376,27425,0.17953
377,21350,0.118932
378,21850,0.121019
379,21725,0.173028
380,18025,0.104027
381,22125,0.150562
382,17500,0.119497
383,22625,0.162218
384,17425,0.115756
385,17950,0.129747
386,17600,0.108844
387,21250,0.106267
388,18475,0.130194
389,17300,0.100671
390,22825,0.2
391,17350,0.0892308
392,22525,0.179144
393,17350,0.0830861
394,21475,0.163102
395,21550,0.164103
396,21875,0.170115
397,17225,0.110032
398,22625,0.178147
399,17325,0.0887372
400,22075,0.242009
401,17325,0.101796
402,17875,0.115819
403,17875,0.0786517
404,22525,0.131183
405,17650,0.0613718
406,25475,0.175
407,18275,0.087037
408,22050,0.112339
409,17300,0.0807453
410,17525,0.0996785
411,25450,0.208145
412,17925,0.0926966
