Episode,Score,Random
1,1275,0.885906
2,425,0.731481
3,625,0.563636
4,550,0.642276
5,875,0.658228
6,825,0.735537
7,850,0.632653
8,925,0.442029
9,550,0.548872
10,725,0.426829
11,600,0.460784
12,1350,0.561983
13,500,0.512195
14,825,0.278196
15,725,0.398305
16,400,0.446809
17,750,0.395522
18,825,0.233333
19,825,0.5
20,775,0.247706
21,4175,0.391566
22,875,0.317757
23,875,0.46988
24,500,0.258065
25,1150,0.22905
26,925,0.371429
27,600,0.481203
28,825,0.34
29,1900,0.236264
30,1425,0.255172
31,925,0.384615
32,825,0.329114
33,375,0.20122
34,825,0.312
35,1325,0.248588
36,975,0.168224
37,1325,0.275362
38,1200,0.261905
39,1300,0.19403
40,800,0.146341
41,825,0.461538
42,5075,0.205426
43,5025,0.186508
44,5450,0.225989
45,5100,0.330097
46,800,0.264151
47,925,0.259259
48,4675,0.335329
49,5025,0.199187
50,1300,0.208556
51,1400,0.147239
52,750,0.179688
53,825,0.236842
54,6025,0.147679
55,1775,0.139738
56,4250,0.234742
57,850,0.156863
58,4675,0.189655
59,1125,0.164948
60,825,0.177515
61,1425,0.137931
62,575,0.225166
63,800,0.211864
64,825,0.197279
65,8775,0.190217
66,525,0.226277
67,750,0.0671642
68,600,0.241935
69,1325,0.101351
70,925,0.225166
71,925,0.19685
72,9300,0.208955
73,1000,0.247863
74,1250,0.124424
75,5025,0.225434
76,800,0.125
77,1325,0.149351
78,1425,0.138122
79,1325,0.136986
80,13200,0.235075
81,1425,0.108108
82,1925,0.148718
83,4450,0.162921
84,5750,0.192
85,8775,0.231959
86,5050,0.23
87,1675,0.201613
88,8375,0.254545
89,5750,0.154185
90,5200,0.135593
91,5100,0.223214
92,4975,0.144105
93,9200,0.151934
94,8725,0.157692
95,1425,0.122699
96,5450,0.134409
97,4100,0.21164
98,9525,0.145695
99,1725,0.0958333
100,2250,0.115727
101,4450,0.110526
102,9700,0.148699
103,1950,0.126316
104,5850,0.152632
105,800,0.132597
106,3950,0.134615
107,9775,0.125382
108,4825,0.248521
109,825,0.0714286
110,8675,0.170732
111,1325,0.161677
112,1425,0.113208
113,5425,0.120087
114,17650,0.168
115,5775,0.0970464
116,12500,0.164609
117,800,0.135417
118,17675,0.232737
119,17325,0.289617
120,17000,0.344418
121,9600,0.128713
122,7950,0.131356
123,4925,0.143885
124,17850,0.193764
125,9875,0.10625
126,17500,0.175342
127,15400,0.0947867
128,17825,0.247863
129,8575,0.0865922
130,15950,0.232639
131,9550,0.186131
132,16225,0.177778
133,16775,0.136
134,16200,0.165266
135,9200,0.197605
136,19525,0.35412
137,9100,0.163265
138,10950,0.439024
139,12500,0.108333
140,16425,0.212446
141,16250,0.162162
142,14100,0.115502
143,17325,0.25495
144,16600,0.211039
145,16250,0.248996
146,16950,0.19573
147,16250,0.183168
148,9125,0.134021
149,18375,0.281501
150,13175,0.0753623
151,8725,0.104027
152,16775,0.183288
153,17475,0.282443
154,16925,0.163987
155,16400,0.166667
156,16375,0.166667
157,16875,0.245399
158,5275,0.133047
159,18200,0.150538
160,17600,0.247031
161,17975,0.253165
162,18650,0.168712
163,17000,0.192308
164,22025,0.40201
165,15975,0.184874
166,17825,0.206522
167,17450,0.165842
168,21875,0.2576
169,17475,0.169231
170,8925,0.15625
171,12300,0.148837
172,22400,0.413793
173,19800,0.314286
174,17250,0.187266
175,17225,0.208226
176,18575,0.243902
177,21675,0.227477
178,18575,0.265464
179,4400,0.129032
180,21025,0.364865
181,17275,0.242958
182,25200,0.35
183,16850,0.159609
184,18850,0.187952
185,21100,0.358209
186,775,0.101351
187,13100,0.114286
188,17350,0.19469
189,11525,0.116883
190,20875,0.271053
191,22225,0.340816
192,22375,0.338912
193,17075,0.0833333
194,18825,0.175879
195,14450,0.0884719
196,15600,0.0890411
197,17500,0.212828
198,17950,0.168421
199,21325,0.282116
200,21850,0.230624
201,17525,0.174157
202,23625,0.274047
203,18325,0.183824
204,18750,0.221918
205,17850,0.176768
206,17850,0.196078
207,11725,0.112
208,18100,0.2
209,8525,0.106383
