Episode,Score,Random
1,750,1
2,775,1
3,750,1
4,875,1
5,4900,0.975
6,825,0.98
7,625,0.943662
8,1025,0.826446
9,800,0.761905
10,500,0.75
11,1025,0.736364
12,1900,0.815951
13,4175,0.751825
14,475,0.696629
15,650,0.78481
16,750,0.744898
17,675,0.852941
18,825,0.747899
19,475,0.686567
20,4175,0.80198
21,500,0.676471
22,725,0.796875
23,750,0.657895
24,475,0.538462
25,550,0.790323
26,900,0.675
27,1350,0.707547
28,575,0.487395
29,800,0.658228
30,700,0.676923
31,750,0.740741
32,1275,0.58125
33,4775,0.706587
34,550,0.732394
35,650,0.411765
36,800,0.530612
37,375,0.333333
38,975,0.441558
39,500,0.428571
40,475,0.688889
41,500,0.608696
42,775,0.492754
43,4200,0.673684
44,550,0.756098
45,650,0.504587
46,1050,0.479452
47,950,0.414815
48,500,0.591398
49,4325,0.75
50,500,0.6
51,5725,0.59375
52,4150,0.726415
53,1325,0.5
54,8175,0.696552
55,3825,0.642857
56,7925,0.509259
57,4425,0.736842
58,1400,0.319728
59,1450,0.414815
60,1150,0.438356
61,650,0.530201
62,550,0.54386
63,350,0.518072
64,4175,0.537634
65,4525,0.567797
66,4075,0.549451
67,4275,0.537975
68,775,0.303571
69,550,0.329545
70,525,0.491803
71,1300,0.453704
72,825,0.506024
73,825,0.421053
74,800,0.493151
75,1425,0.299401
76,650,0.577982
77,1425,0.506944
78,525,0.456522
79,4400,0.454545
80,550,0.423077
81,500,0.353659
82,650,0.519685
83,550,0.256098
84,4200,0.638158
85,4250,0.37931
86,500,0.702703
87,650,0.281553
88,1050,0.25641
89,4675,0.333333
90,525,0.371681
91,4775,0.432099
92,450,0.254545
93,4375,0.387435
94,550,0.510638
95,4100,0.440678
96,8400,0.405063
97,4175,0.462121
98,4175,0.438596
99,7600,0.261261
100,4275,0.490196
101,4175,0.392593
102,8350,0.375
103,8075,0.464516
104,7600,0.330709
105,7650,0.23
106,4225,0.308333
107,4500,0.341463
108,8400,0.303704
109,11750,0.281046
110,4275,0.247619
111,8025,0.208696
112,7625,0.185841
113,7625,0.327869
114,4100,0.353659
115,4700,0.253968
116,7875,0.313609
117,4600,0.153846
118,8650,0.269504
119,7825,0.22561
120,4225,0.215385
121,7625,0.282258
122,4225,0.403226
123,11450,0.193939
124,8100,0.1
125,11250,0.297468
126,11375,0.246988
127,500,0.190476
128,8200,0.262712
129,4200,0.165217
130,7725,0.24183
131,7825,0.298851
132,650,0.137931
133,3825,0.245614
134,11200,0.176871
135,7750,0.169231
136,7850,0.2
137,11550,0.144231
138,8000,0.232432
139,525,0.192308
140,4275,0.151786
141,7775,0.33557
142,11500,0.137255
143,7575,0.349315
144,11425,0.168831
145,11800,0.319328
146,750,0.186813
147,7675,0.27972
148,11875,0.18018
149,8275,0.215385
150,7825,0.257895
151,7850,0.355263
152,7750,0.170213
153,12400,0.154472
154,11475,0.288703
155,7900,0.243655
156,11575,0.123457
157,15050,0.35124
158,8875,0.430769
159,4100,0.229167
160,4275,0.230769
161,8900,0.198312
162,14875,0.266376
163,4200,0.273973
164,7850,0.232673
165,11975,0.174699
166,15675,0.308511
167,11675,0.114754
168,7950,0.0855457
169,12275,0.314136
170,16150,0.304688
171,4200,0.19708
172,4625,0.244635
173,8925,0.0501166
174,15875,0.304196
175,16000,0.173516
176,11425,0.230769
177,7750,0.209877
178,15325,0.180147
179,8050,0.250859
180,13400,0.206081
181,7675,0.283333
182,11975,0.0927419
183,8450,0.0959596
184,12350,0.224335
185,7900,0.109848
186,8925,0.0968254
187,7700,0.238806
188,7625,0.168421
189,13000,0.142857
190,4175,0.20354
191,8600,0.275281
192,4525,0.0710572
193,11900,0.207483
194,12975,0.209184
195,15250,0.206009
196,8450,0.259649
197,4200,0.186567
198,12275,0.161017
199,13050,0.166667
200,4300,0.195402
201,8600,0.127424
202,8100,0.0705596
203,12775,0.0838323
204,12750,0.0760456
205,11575,0.126623
206,12600,0.118774
207,15600,0.156997
208,4275,0.115702
209,15825,0.161972
210,12300,0.175896
211,7950,0.150602
212,8700,0.0675944
213,7900,0.172691
214,12075,0.136054
215,5950,0.0486009
216,775,0.0977918
217,6400,0.0236031
218,16425,0.137681
219,16325,0.150495
220,17075,0.208024
221,19750,0.196108
222,12850,0.0796253
223,16275,0.241379
224,16125,0.254902
225,13200,0.0346386
226,5675,0.0215873
227,16000,0.0144597
228,7800,0.129032
229,11250,0.124183
230,10375,0.0172414
231,6250,0.0155697
232,11225,0.0657476
233,14200,0.0285036
234,12050,0.0952381
235,13475,0.0519481
236,17475,0.276596
237,16250,0.271264
238,16900,0.147673
239,7700,0.183333
240,13725,0.0197935
241,17250,0.0794393
242,13450,0.0470975
243,5550,0.0233978
244,16500,0.279923
245,18100,0.181159
246,18825,0.0551075
247,17425,0.0717054
248,20525,0.0517138
249,13450,0.0411335
250,9675,0.0520059
251,17275,0.195946
252,17425,0.10439
253,9600,0.0276614
254,16975,0.128049
255,16525,0.148876
256,8150,0.129139
257,7575,0.0530303
258,20950,0.3177
259,17375,0.214022
260,16700,0.132411
261,16250,0.132931
262,16450,0.185676
263,21225,0.252232
264,15750,0.132565
265,17550,0.187856
266,23300,0.30622
267,22300,0.234417
268,16550,0.128141
269,16800,0.224359
270,16250,0.0955285
271,17200,0.119904
272,15950,0.0939394
273,18350,0.226164
274,21475,0.245083
275,21300,0.273786
276,16900,0.126338
277,19650,0.125512
278,21700,0.339496
279,18450,0.150155
280,17075,0.206287
281,19025,0.164623
282,18200,0.240343
283,22375,0.301811
284,18425,0.220974
285,25125,0.332162
286,18500,0.122137
287,15475,0.128049
288,17600,0.208531
289,21950,0.223529
290,17125,0.201005
291,20750,0.164331
292,21575,0.172819
293,22225,0.151825
294,18400,0.0587349
295,22125,0.17765
296,22200,0.186928
297,25350,0.190933
298,16125,0.0829146
299,16950,0.121379
300,21975,0.157965
301,19950,0.171512
302,21700,0.12824
303,10000,0.0602782
304,21225,0.124439
305,16425,0.08
306,9350,0.0329218
307,12050,0.0291971
308,27650,0.258621
309,20200,0.177551
310,11400,0.0338983
311,16075,0.111437
312,20600,0.258993
313,16825,0.0857143
314,16525,0.184987
315,20800,0.146067
316,12800,0.0198556
317,16400,0.102493
318,22425,0.157216
319,19300,0.0832328
320,22175,0.16879
321,25150,0.196106
322,18375,0.118265
323,15450,0.138686
324,16125,0.091954
325,25300,0.252212
326,16775,0.106291
327,21750,0.266537
328,18625,0.190476
329,16725,0.148837
330,26050,0.120729
331,22350,0.153659
332,16300,0.107062
333,19950,0.217073
334,16175,0.114851
335,20150,0.225131
336,30775,0.240339
337,16800,0.113821
338,21100,0.185654
339,19575,0.179272
340,15950,0.105943
341,20025,0.165432
342,19200,0.165842
343,19900,0.169291
344,15775,0.113095
345,15850,0.121037
346,20700,0.247166
347,24250,0.251969
348,15550,0.084375
349,19475,0.182898
350,18350,0.138728
351,15475,0.0980392
352,21275,0.156889
353,19425,0.185542
354,15650,0.101227
355,21275,0.183932
356,16825,0.0808383
357,15975,0.109422
358,20725,0.230241
359,22925,0.180101
360,26675,0.173575
361,15100,0.0717391
362,27700,0.193103
363,21975,0.198611
364,25675,0.186951
365,20700,0.137795
366,19575,0.165323
367,19400,0.108943
368,14850,0.0886525
369,24975,0.193878
370,20025,0.120907
371,19650,0.123746
372,19175,0.158798
373,16075,0.0739726
374,14750,0.0338346
375,15525,0.0909091
376,15375,0.0755396
377,20675,0.202627
378,16000,0.0703593
379,24925,0.218695
380,31300,0.184586
381,24300,0.198944
382,20725,0.113636
383,12700,0.0379747
384,17300,0.146341
385,21925,0.1181
386,27125,0.142408
387,23300,0.122596
388,23700,0.108647
389,16525,0.0562347
390,21500,0.11465
391,17325,0.0153061
392,21250,0.0990991
393,37325,0.169194
394,26425,0.124682
395,28850,0.158579
396,25875,0.154403
397,30600,0.125427
398,28200,0.127234
399,33500,0.178431
400,21700,0.134579
401,22325,0.145897
402,22550,0.100287
403,20725,0.14673
404,28475,0.104118
405,21625,0.145349
406,23250,0.246795
407,21650,0.112082
408,19250,0.0670996
409,24050,0.0960666
410,24225,0.175221
411,22625,0.140845
412,29025,0.123397
413,18950,0.0353909
